,0,1,class_label,target_label
0,1.0,0.0,0,IN
1,0.93,0.07,0,IN
2,0.95,0.05,0,IN
3,0.09,0.91,1,IN
4,1.0,0.0,0,IN
5,0.05,0.95,1,IN
6,0.03,0.97,1,IN
7,1.0,0.0,0,IN
8,0.23,0.77,1,IN
9,0.99,0.01,0,IN
10,1.0,0.0,0,IN
11,0.16,0.84,1,IN
12,0.98,0.02,0,IN
13,0.85,0.15,0,IN
14,1.0,0.0,0,IN
15,1.0,0.0,0,IN
16,1.0,0.0,0,IN
17,1.0,0.0,0,IN
18,1.0,0.0,0,IN
19,0.96,0.04,0,IN
20,1.0,0.0,0,IN
21,1.0,0.0,0,IN
22,1.0,0.0,0,IN
23,0.98,0.02,0,IN
24,0.23,0.77,1,IN
25,1.0,0.0,0,IN
26,1.0,0.0,0,IN
27,1.0,0.0,0,IN
28,0.99,0.01,0,IN
29,0.84,0.16,0,IN
30,0.98,0.02,0,IN
31,0.0,1.0,1,IN
32,0.89,0.11,0,IN
33,0.16,0.84,1,IN
34,0.04,0.96,1,IN
35,1.0,0.0,0,IN
36,0.93,0.07,0,IN
37,1.0,0.0,0,IN
38,0.31,0.69,1,IN
39,0.89,0.11,0,IN
40,0.94,0.06,0,IN
41,0.99,0.01,0,IN
42,0.97,0.03,0,IN
43,1.0,0.0,0,IN
44,0.0,1.0,1,IN
45,0.97,0.03,0,IN
46,0.99,0.01,0,IN
47,0.99,0.01,0,IN
48,1.0,0.0,0,IN
49,0.97,0.03,0,IN
50,0.77,0.23,0,IN
51,0.06,0.94,1,IN
52,0.95,0.05,0,IN
53,0.06,0.94,1,IN
54,0.87,0.13,0,IN
55,0.95,0.05,0,IN
56,0.11,0.89,1,IN
57,0.13,0.87,1,IN
58,0.03,0.97,1,IN
59,1.0,0.0,0,IN
60,0.97,0.03,0,IN
61,0.98,0.02,0,IN
62,0.91,0.09,0,IN
63,0.79,0.21,0,IN
64,1.0,0.0,0,IN
65,0.03,0.97,1,IN
66,1.0,0.0,0,IN
67,1.0,0.0,0,IN
68,0.88,0.12,0,IN
69,0.97,0.03,0,IN
70,1.0,0.0,0,IN
71,0.95,0.05,0,IN
72,1.0,0.0,0,IN
73,1.0,0.0,0,IN
74,0.99,0.01,0,IN
75,0.91,0.09,0,IN
76,0.99,0.01,0,IN
77,1.0,0.0,0,IN
78,0.92,0.08,0,IN
79,1.0,0.0,0,IN
80,1.0,0.0,0,IN
81,1.0,0.0,0,IN
82,1.0,0.0,0,IN
83,1.0,0.0,0,IN
84,0.01,0.99,1,IN
85,1.0,0.0,0,IN
86,0.89,0.11,0,IN
87,0.29,0.71,1,IN
88,0.99,0.01,0,IN
89,0.04,0.96,1,IN
90,0.99,0.01,0,IN
91,0.97,0.03,0,IN
92,1.0,0.0,0,IN
93,0.99,0.01,0,IN
94,0.1,0.9,1,IN
95,0.83,0.17,0,IN
96,1.0,0.0,0,IN
97,1.0,0.0,0,IN
