0,1,class_label,target_label
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.8,0.2,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.6,0.4,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.8,0.2,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.2,0.8,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.2,0.8,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.8,0.2,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.2,0.8,1,IN
1.0,0.0,0,IN
0.2,0.8,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.8,0.2,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.2,0.8,1,IN
1.0,0.0,0,IN
0.2,0.8,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.0,1.0,1,IN
0.2,0.8,1,IN
0.6,0.4,0,IN
0.8,0.2,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.8,0.2,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
0.0,1.0,1,IN
1.0,0.0,0,IN
1.0,0.0,0,IN
